lat,lon,emission,cluster,cluster_ordered
43.1,13.0,10395.0,3,3
50.1,4.1,3520.15,2,1
39.5,-5.7,931.108,0,0
50.3,5.7,3213.51,2,1
50.5,17.6,5600.19,4,2
51.8,-10.1,80.047,0,0
56.8,14.4,1040.29,0,0
36.0,25.2,0.607889,0,0
35.1,30.2,0.271599,0,0
48.9,24.1,5025.51,4,2
53.9,12.1,6374.06,4,2
44.2,8.3,8478.39,4,2
45.8,27.5,5572.88,4,2
59.8,8.2,220.49,0,0
35.9,27.2,0.0718325,0,0
55.8,9.5,9113.18,3,3
47.2,6.1,11664.1,3,3
37.5,30.4,6194.93,4,2
60.6,6.5,2075.32,2,1
63.9,13.1,8.20474,0,0
55.1,20.5,0.0201798,0,0
54.5,-5.6,2978.63,2,1
47.3,23.6,2595.59,2,1
53.5,-2.6,18327.5,1,4
59.8,14.8,741.028,0,0
50.8,17.3,5997.0,4,2
47.9,11.7,8810.45,3,3
54.6,30.3,1875.08,2,1
42.0,28.0,1.39963,0,0
52.8,0.5,4206.03,2,1
61.9,12.9,407.214,0,0
59.0,27.3,1737.52,0,0
52.9,27.5,4860.72,4,2
48.3,13.8,13738.6,1,4
54.0,17.8,697.311,0,0
38.4,-5.6,775.89,0,0
37.6,13.7,425.944,0,0
54.9,24.4,2275.13,2,1
55.5,11.0,134.236,0,0
69.1,27.7,176.689,0,0
47.7,24.2,7971.32,4,2
66.5,19.7,214.146,0,0
47.7,14.5,297.198,0,0
58.8,8.2,139.818,0,0
47.9,-4.3,8259.91,4,2
39.5,-7.7,3697.6,2,1
48.4,26.8,3245.59,2,1
56.2,-3.7,919.407,0,0
41.3,-7.3,1347.14,0,0
36.9,-8.3,0.812532,0,0
58.2,-3.3,272.544,0,0
41.4,23.1,4946.54,4,2
66.1,21.6,585.853,0,0
46.6,25.1,409.863,0,0
63.4,28.8,237.219,0,0
34.8,-5.4,4046.03,2,1
35.9,5.7,2.8041,0,0
55.4,-4.7,8543.17,4,2
59.3,19.0,123.071,0,0
48.3,14.7,8505.62,4,2
50.8,14.8,15135.5,1,4
48.1,17.7,8868.12,3,3
49.0,13.0,5865.99,4,2
64.7,19.5,114.493,0,0
40.9,15.7,4951.57,4,2
43.4,27.8,7939.35,4,2
53.5,-7.8,1559.27,0,0
54.9,-4.8,138.772,0,0
47.4,20.8,4578.58,2,1
48.5,20.3,1433.4,0,0
45.6,15.8,11005.7,3,3
51.5,-10.1,12.9294,0,0
46.8,20.2,7818.38,4,2
45.4,26.9,4340.25,2,1
46.5,1.4,3468.96,2,1
69.2,20.5,23.4108,0,0
43.8,12.4,9096.84,3,3
44.4,-0.8,2812.17,2,1
37.9,-0.5,1.03663,0,0
56.3,21.1,900.169,0,0
63.7,18.0,276.339,0,0
44.8,27.8,3532.49,2,1
