lat,lon,emission
40.6,37.5,4479.95
60.6,7.8,186.955
46.3,-63.1,2533.11
50.2,16.4,1388.55
44.8,39.4,1941.3
61.1,38.7,74.8088
50.3,8.5,21475.5
50.9,28.2,867.183
61.0,23.1,936.089
46.9,6.7,3680.47
50.0,9.7,8427.93
57.4,-4.5,3565.64
52.4,14.5,4227.52
63.6,19.1,261.439
53.2,10.1,9739.03
48.6,-53.9,261.667
65.8,14.0,175.514
59.5,26.1,558.325
47.3,-2.0,8688.67
64.7,-18.7,0.0251423
46.2,1.6,2860.77
53.1,20.4,5176.66
43.6,0.1,1804.48
44.9,7.2,12972.2
58.1,27.9,24.9871
51.8,18.4,4673.58
46.1,12.0,9168.99
49.0,6.5,6316.84
45.0,39.8,2281.97
59.4,23.8,4.25965
45.5,38.7,2518.01
50.9,39.9,1151.87
56.8,31.3,23.1034
46.8,8.0,1802.83
55.9,24.5,1888.0
46.9,23.8,9017.59
49.3,5.6,3592.66
62.7,27.5,4377.77
64.4,31.1,1.7452
51.1,17.1,29424.2
59.1,15.5,7642.42
40.0,16.4,3614.91
40.7,-6.2,1150.76
63.8,38.1,36.4809
58.7,14.8,168546.0
40.4,30.1,10316.8
42.7,24.6,2814.02
53.7,-8.9,799.296
55.5,13.7,3804.64
52.0,22.3,4819.1
47.8,32.4,1961.01
49.4,3.1,6730.67
42.4,-3.6,1326.96
45.2,15.6,1225.3
41.0,-1.2,334.425
52.2,5.7,8381.2
45.0,-69.9,2179.25
40.4,21.9,1595.59
53.5,30.1,1290.27
51.8,37.2,1597.29
46.8,20.1,9630.35
44.1,17.6,10238.2
41.9,12.9,8268.48
42.8,19.6,770.298
49.2,-54.5,923.286
69.3,32.8,623.425
40.1,-7.6,6293.98
47.7,-67.2,54.128
45.5,28.9,2513.3
53.5,13.5,3817.85
41.6,21.7,4919.77
62.1,5.9,1260.79
45.3,20.3,19718.4
54.8,10.4,7454.51
63.0,16.5,1210.4
52.3,-1.2,6519.74
47.0,6.3,3660.2
54.8,30.7,116.982
50.1,6.8,12229.8
61.2,30.1,30.779
60.1,5.2,384.088
42.1,-8.9,22375.4
52.3,28.7,1270.52
58.8,25.5,3881.12
41.2,36.3,2745.95
63.2,11.9,2.86906
43.1,-8.5,3800.67
57.8,16.2,981.322
61.0,16.5,188.709
53.0,18.6,29994.4
